"","PNA_B_AMF","PPA_B_AMF"
"CH2.1",-0.0229593491563781,0.0960234069820003
"CH2.2",-0.0306821197227033,0.117686492320765
"CH2.3",-0.0219817814236707,0.111929330764913
"CH3.1",-0.0280148019648874,0.0958878505928892
"CH3.2",-0.0263817925318345,0.10295226386511
"CH3.3",-0.0219933769197592,0.154940620777304
"CH4.1",-0.0246501016223473,0.124051304504756
"CH4.2",-0.0289762971209987,0.129712662206762
"CH4.3",-0.019808007919069,0.131199486054736
"CH5.1",-0.023006218061027,0.123990657603728
"CH5.2",-0.0235375351563085,0.0929602512299687
"CH5.3",-0.01721860783894,0.105056281211823
"CH6.1",-0.0253797452768882,0.114367066192612
"CH6.2",-0.0298500937855077,0.0910211368327584
"CH6.3",-0.0186477146799149,0.120806201969247
"CH7.1",-0.0282909422414056,0.119444562137414
"CH7.2",-0.0232201818367046,0.104136045551972
"CH7.3",-0.0152905075892487,0.132936958165237
