Position,Richness_B,Richness_AMF,Richness_rpoB,CAP1_B,CAP1_AMF,CAP1_rpoB,EMF,Moisture,pH,BD,SOC,N.P,TP,PNA_B_AMF,PPA_B_AMF,PNA_rpoB_AMF,PPA_rpoB_AMF
Top,3997,232,492,-0.299005739,-0.355184957,-0.248193984,0.444060426,17.20801659,8.69,1.18,4.229709163,0.802244829,0.564732839,0.022959349,0.096023407,0.011827796,0.120310437
Top,3987,293,595,-0.359105699,-0.315277147,-0.357762848,0.400335329,17.2253739,8.74,1.15,4.209564522,1.021346906,0.511475579,0.03068212,0.117686492,0.014266675,0.147864252
Top,3744,233,585,-0.308753714,-0.354589525,-0.374294615,-0.066935153,13.72328459,8.78,1.2,3.126172723,0.851102003,0.489480695,0.021981781,0.111929331,0.011140072,0.132801849
Top,3627,227,553,-0.262604059,-0.32597913,-0.259842893,0.557286792,16.16766467,8.74,1.21,5.033907601,1.165539613,0.514396931,0.028014802,0.095887851,0.011443592,0.111851579
Top,3780,259,526,-0.272816835,-0.342647557,-0.306584583,0.567403019,20.06688963,8.64,1.18,5.029890117,0.854983426,0.596673555,0.026381793,0.102952264,0.013148313,0.127188871
Top,1627,247,323,-0.460519944,-0.194170537,-0.376422635,0.693778795,15.77258138,8.66,1.19,3.72883957,0.84499973,0.595571788,0.021993377,0.154940621,0.006854353,0.282425644
Mid,4533,317,761,0.137088003,0.187280935,0.052176375,-0.096280047,15.00547645,8.72,1.22,4.503920503,0.721722912,0.607720765,0.024650102,0.124051305,0.013127245,0.143810819
Mid,3746,173,577,0.119225376,0.184715407,0.047215926,0.075649153,13.69127517,8.76,1.2,4.214205847,0.90317866,0.532840313,0.028976297,0.129712662,0.012788363,0.145301621
Mid,4064,685,505,0.065999989,0.376192579,-0.065459594,0.231834969,17.91107383,8.72,1.22,4.355754804,0.844867131,0.640439165,0.019808008,0.131199486,0.015589605,0.199764209
Mid,3112,257,421,0.073000994,0.265472733,0.21244017,-0.142143625,15.76564581,8.79,1.23,3.14224344,0.587442689,0.642442245,0.023006218,0.123990658,0.017630292,0.125126208
Mid,4265,226,496,0.115897952,0.136651768,0.202024915,-0.025361742,13.73725255,8.72,1.22,4.082294707,0.700597244,0.662374858,0.023537535,0.092960251,0.015735422,0.114337785
Mid,4374,716,519,0.137708371,0.365467657,0.037484721,0.416519505,14.55273698,8.78,1.25,5.608465148,0.81424728,0.661152961,0.017218608,0.105056281,0.012346447,0.12994303
Bottom,3879,213,425,0.240522295,0.069856182,0.302602985,-0.93178366,14.76535673,8.82,1.26,2.471060932,0.476470057,0.656381225,0.025379745,0.114367066,0.016379221,0.119292023
Bottom,4321,235,426,0.192746816,-0.1074098,0.147046559,-0.391428208,17.49502982,8.72,1.19,2.993850865,0.603647904,0.65710822,0.029850094,0.091021137,0.01533634,0.125366921
Bottom,4510,194,537,0.222313126,0.09102642,0.22388977,-0.601462643,10.25412394,8.69,1.24,2.21887836,0.539539702,0.637050431,0.018647715,0.120806202,0.014512975,0.167812048
Bottom,4040,191,551,0.237263734,0.041313524,0.214449852,-0.620429222,11.95979899,8.68,1.39,3.413336814,0.524863491,0.64568789,0.028290942,0.119444562,0.014047813,0.11349456
Bottom,4531,779,625,0.197360374,0.147407581,0.261384758,0.140607392,14.43264764,8.7,1.15,3.932313772,0.679865083,0.674460288,0.023220182,0.104136046,0.015662991,0.151369159
Bottom,3682,149,484,0.223678959,0.129873867,0.287845119,-0.65165108,11.6635514,8.83,1.25,2.378358889,0.432321432,0.623216847,0.015290508,0.132936958,0.013636869,0.203478675
