"","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","dark_oxidation_of_sulfur_compounds","fermentation","aerobic_chemoheterotrophy","human_pathogens_all","aromatic_compound_degradation","nitrate_respiration","nitrate_reduction","predatory_or_exoparasitic","photoheterotrophy","ureolysis"
"CH2.1",2.15,0.54,0.73,5.03,4.07,0.27,0,35.89,0.97,0.06,0.25,2.53,2.23,0.87,1.59
"CH2.2",1.89,0.35,0.68,4.08,2.86,0.1,0.13,33.9,1.25,0.11,0.23,2.15,1.6,0.51,1.69
"CH2.3",2.14,0.51,1.58,4.81,3.33,0.19,0,34.68,1.14,0.11,0.22,2.45,1.73,0.54,1.7
"CH3.1",1.9,0.58,1.62,5.46,4.19,0.16,0.13,34.16,1.14,0.1,0.29,2.8,1.98,0.95,1.26
"CH3.2",2.32,0.53,2.05,4.27,3.39,0.12,0.14,37.3,0.95,0.08,0.28,2.65,2.2,0.31,1.26
"CH3.3",0.03,0.03,0.27,1.3,3.46,0.37,0,48.28,0.45,0.15,0.13,1.16,1.16,0.11,1.29
"CH4.1",1.33,0.4,2.55,4.51,3.52,1.89,0.29,47.86,1.28,0.14,0.29,2.89,2.13,0,2.25
"CH4.2",1.82,0.62,3.02,3.74,2.72,0.2,0.18,37.14,0.94,0.08,0.32,3.26,2.68,0.11,1.26
"CH4.3",1.81,0.52,2.11,4.03,2.47,0.32,0.14,37.32,1.08,0.3,0.3,2.28,1.83,0.25,1.75
"CH5.1",0.71,0.27,1.67,4.65,4.88,0.11,0,33.35,1.04,0.07,0.2,1.88,1.58,0.49,1.18
"CH5.2",2.51,0.56,1.69,4.29,3.54,0.12,0,34.69,0.77,0.03,0.21,2.85,2.14,0.31,1.11
"CH5.3",2.85,0.67,1.68,4.75,2.99,0.11,0.23,42.79,1,0.04,0.29,3.8,2.82,0.2,1.33
"CH6.1",1.8,0.58,2.75,3.77,3.31,0.06,0.08,33.83,0.92,0,0.36,2.95,2.5,0,0.88
"CH6.2",2.6,0.7,1.57,3.82,2.68,0.09,0.14,38.64,0.9,0,0.35,3.73,2.86,0.59,0.93
"CH6.3",2.15,0.61,1.86,5.05,3.59,0.2,0.12,38.69,1.12,0.06,0.28,3.27,2.49,0.19,1.74
"CH7.1",1.88,0.63,3.42,4.78,3.67,0.14,0.15,39.15,0.92,0.03,0.25,2.55,1.79,0.65,1.12
"CH7.2",1.44,0.29,2.73,4.93,5.03,0.15,0.21,37.16,1.03,0.02,0.25,2.81,2.1,0.37,1.88
"CH7.3",1.95,0.48,0.93,4.43,3.69,0.26,0.2,39.81,1.01,0.23,0.34,3,2.27,0.31,1.8
