,std.error,conf.low,conf.high,mean,management,variable,sig,n
1,2.043396593,-3.278577448,5.986200832,1.247894375,Organic fertilizer,Yield,2,14
2,1.663721524,-10.15240348,-4.198057097,-7.22298608,Organic fertilizer,SOC,2,25
3,11.21594819,-32.20575435,6.15836203,-15.16530148,Organic fertilizer,N2O,2,33
4,84.82681582,-88.65246272,-22.43387162,-70.3320959,Organic fertilizer,CH4,1,5
5,2.979027028,-3.416875628,8.657754874,2.442693507,Organic fertilizer,MWD,2,8
6,5.318653147,-2.436385433,18.70365069,7.615785199,Conservation tillage,Yield,2,44
7,0.85823292,-3.98807784,-0.232480346,-2.128291467,Conservation tillage,SOC,1,63
8,9.00368884,-21.63385296,18.65281105,-3.571976909,Conservation tillage,N2O,2,16
9,56.87128523,-40.98876525,180.1603781,69.58580642,Conservation tillage,CH4,2,6
10,2.513730658,-2.440626132,6.377882526,1.873252685,Conservation tillage,MWD,2,22
11,0.6627933,0.5558999,3.1189962,1.829384,Intermittent irrigation,Yield,3,5
12,0.3067947,0.7276518,1.8374991,1.281055,Intermittent irrigation,SOC,3,3
13,7.2911993,0.7489356,28.2245654,13.659529,Intermittent irrigation,N2O,3,5
14,0.7499883,-3.7448505,-0.9245688,-2.34489,Intermittent irrigation,CH4,1,5
