Position,DOC,MBC,TDN,Olsen-P,MBN,MBP,LeafN,LeafP,BG,NAG,LAP,AP,LeafC,LitterC,EMF
Top,96.22778162,139.8682331,27.07505183,0.29432652,12.15490542,4.428732255,37.3116,1.8312,16.18937333,7.861010708,44.68768567,71.68999447,577.5477516,535.9351041,0.444060426
Top,107.0267664,120.6118847,33.76090768,0.222562532,9.334613107,7.651151669,37.3998004,1.789221557,18.90901859,8.735084823,44.16026224,69.21941847,535.6893831,510.7264749,0.400335329
Top,85.29246344,130.1499813,22.74465692,0.044436994,16.84789401,3.812565534,35.1696,1.737,15.59243011,7.924094835,43.31972801,57.68927469,534.5126295,517.3848123,-0.066935153
Top,105.5964072,196.7105788,34.26946108,0.565405062,14.41339543,8.174495908,34.51336267,1.7924,19.11371796,8.832439458,33.41475308,61.85810064,536.1835358,498.5633441,0.557286792
Top,117.5454849,175.5644742,27.01505017,0.635301128,18.23237954,8.412692737,34.78838008,1.8269,11.14651959,9.813714663,34.4938142,80.78699379,538.1271493,489.2833,0.567403019
Top,106.9738652,224.5988079,31.37436956,0.547116521,14.57876951,3.645655433,35.37300463,1.8529,14.17332974,9.053431578,44.39272292,97.97601825,541.258829,500.9859689,0.693778795
Mid,96.48959474,95.58232932,29.55640745,0.256281271,10.22270902,4.93296057,37.2976,1.9876,9.646923968,0.869994868,38.21536113,61.39270821,595.0389257,514.0645564,-0.096280047
Mid,95.50067114,107.6277405,29.33234899,0.269424068,12.42182451,4.568966226,37.25608782,1.99001996,9.557845804,3.865286782,28.41302097,73.25805352,595.6604395,534.9622162,0.075649153
Mid,103.2901007,116.0769016,33.95838926,0.318315879,8.515799776,5.392908609,36.80080321,2.025702811,13.84932707,2.277621069,37.37339899,89.75387189,565.1454158,516.7035153,0.231834969
Mid,72.23776298,107.5334221,21.53241012,0.039780163,18.86551265,5.730671517,36.78502994,2.024750499,11.48801771,1.109706194,33.17220285,67.9443669,576.6903618,534.882014,-0.142143625
Mid,74.49790042,165.5508898,28.7755249,1.025194232,17.69246151,5.952719664,35.96467066,2.031736527,7.563536215,0.729479251,32.69528418,63.81489712,553.6952369,483.6470832,-0.025361742
Mid,94.1623498,171.0654206,26.69078772,0.206692849,12.30381249,7.434159519,37.0276,2.0484,15.67892848,2.740274325,29.4465922,90.32760798,605.8020478,520.9888025,0.416519505
Bottom,68.05585654,60.69812201,15.26379245,0.250338438,10.20136504,2.010031062,38.21972112,2.275298805,6.332565653,1.858805582,30.82865895,68.60756879,565.1454158,495.5240891,-0.93178366
Bottom,77.66421471,86.42412194,23.61650099,0.051447157,10.00883587,2.873094215,38.63732535,2.33253493,14.77182262,2.052222504,26.5769088,86.96272183,573.9695458,516.7133201,-0.391428208
Bottom,70.67289345,82.32307921,22.38158716,0.146984918,8.371146447,3.294273781,38.7500998,2.320159681,9.260439896,3.534822746,26.34181665,74.13640809,570.6643049,516.2768779,-0.601462643
Bottom,78.2598995,76.87906198,25.75075377,0.12815665,12.02531174,2.438535931,40.52754491,2.183632735,5.435740599,1.609058664,31.58758551,77.56383954,584.661203,481.1322124,-0.620429222
Bottom,91.31725282,110.6182261,24.37415395,0.206476166,22.2507926,4.098163226,39.7251497,2.145309381,22.43961318,1.079962476,26.83865764,101.5210758,555.7096132,494.7306158,0.140607392
Bottom,72.35798131,88.09013499,16.74953271,0.201479757,14.68168917,2.721355696,37.01257485,2.018962076,9.471094275,0.679860555,23.76147754,88.76832908,587.4273996,479.3441331,-0.65165108
