"","V1"
"CH2.1",0.0372913593161807
"CH2.2",0.0390170801324544
"CH2.3",0.0393553221396391
"CH3.1",0.0386721047289242
"CH3.2",0.0387887174167294
"CH3.3",0.0322580645161291
"CH4.1",0.0395292693327949
"CH4.2",0.0394018553320446
"CH4.3",0.0413932049795737
"CH5.1",0.0430746073990107
"CH5.2",0.0405728412619714
"CH5.3",0.039403895145915
"CH6.1",0.041350545342756
"CH6.2",0.0417768904701008
"CH6.3",0.0410814632395639
"CH7.1",0.0405367478948009
"CH7.2",0.0407449792864429
"CH7.3",0.0391625965206287
