,Moisture,pH,BD,SOC,N.P,TP
CH2.1,17.20801659,8.69,1.18,4.229709163,0.802244829,0.564732839
CH2.2,17.2253739,8.74,1.15,4.209564522,1.021346906,0.511475579
CH2.3,13.72328459,8.78,1.2,3.126172723,0.851102003,0.489480695
CH3.1,16.16766467,8.74,1.21,5.033907601,1.165539613,0.514396931
CH3.2,20.06688963,8.64,1.18,5.029890117,0.854983426,0.596673555
CH3.3,15.77258138,8.66,1.19,3.72883957,0.84499973,0.595571788
CH4.1,15.00547645,8.72,1.22,4.503920503,0.721722912,0.607720765
CH4.2,13.69127517,8.76,1.2,4.214205847,0.90317866,0.532840313
CH4.3,17.91107383,8.72,1.22,4.355754804,0.844867131,0.640439165
CH5.1,15.76564581,8.79,1.23,3.14224344,0.587442689,0.642442245
CH5.2,13.73725255,8.72,1.22,4.082294707,0.700597244,0.662374858
CH5.3,14.55273698,8.78,1.25,5.608465148,0.81424728,0.661152961
CH6.1,14.76535673,8.82,1.26,2.471060932,0.476470057,0.656381225
CH6.2,17.49502982,8.72,1.19,2.993850865,0.603647904,0.65710822
CH6.3,10.25412394,8.69,1.24,2.21887836,0.539539702,0.637050431
CH7.1,11.95979899,8.68,1.39,3.413336814,0.524863491,0.64568789
CH7.2,14.43264764,8.7,1.15,3.932313772,0.679865083,0.674460288
CH7.3,11.6635514,8.83,1.25,2.378358889,0.432321432,0.623216847
