"","ASV","lab"
"1","OTU_298","OTU_298"
"2","OTU_108","OTU_108"
"3","OTU_203","OTU_203"
"4","OTU_116","OTU_116"
"5","OTU_370","OTU_370"
"6","OTU_190","OTU_190"
"7","OTU_89","OTU_89"
"8","OTU_139","OTU_139"
"9","OTU_2","OTU_2"
"10","OTU_246","OTU_246"
"11","OTU_43","OTU_43"
"12","OTU_284","OTU_284"
"13","OTU_168","OTU_168"
"14","OTU_283","OTU_283"
"15","OTU_138","OTU_138"
"16","OTU_307","OTU_307"
"17","OTU_131","OTU_131"
"18","OTU_188","OTU_188"
"19","OTU_386","OTU_386"
"20","OTU_157","OTU_157"
"21","OTU_14","OTU_14"
"22","OTU_237","OTU_237"
"23","OTU_42","OTU_42"
"24","OTU_371","OTU_371"
"25","OTU_279","OTU_279"
"26","OTU_331","OTU_331"
"27","OTU_130","OTU_130"
"28","OTU_49","OTU_49"
"29","OTU_164","OTU_164"
"30","OTU_38","OTU_38"
"31","OTU_290","OTU_290"
"32","OTU_15","OTU_15"
"33","OTU_213","OTU_213"
"34","OTU_202","OTU_202"
"35","OTU_10","OTU_10"
"36","OTU_110","OTU_110"
"37","OTU_452","OTU_452"
"38","OTU_163","OTU_163"
"39","OTU_149","OTU_149"
"40","OTU_176","OTU_176"
"41","OTU_261","OTU_261"
"42","OTU_235","OTU_235"
"43","OTU_289","OTU_289"
"44","OTU_216","OTU_216"
"45","OTU_183","OTU_183"
"46","OTU_125","OTU_125"
"47","OTU_83","OTU_83"
"48","OTU_160","OTU_160"
"49","OTU_314","OTU_314"
"50","OTU_178","OTU_178"
"51","OTU_329","OTU_329"
"52","OTU_137","OTU_137"
"53","OTU_112","OTU_112"
"54","OTU_224","OTU_224"
"55","OTU_281","OTU_281"
"56","OTU_93","OTU_93"
"57","OTU_401","OTU_401"
"58","OTU_85","OTU_85"
"59","OTU_34","OTU_34"
"60","OTU_251","OTU_251"
"61","OTU_241","OTU_241"
"62","OTU_23","OTU_23"
"63","OTU_365","OTU_365"
"64","OTU_166","OTU_166"
"65","OTU_313","OTU_313"
"66","OTU_296","OTU_296"
"67","OTU_255","OTU_255"
"68","OTU_286","OTU_286"
"69","OTU_175","OTU_175"
"70","OTU_174","OTU_174"
"71","OTU_359","OTU_359"
"72","OTU_13","OTU_13"
"73","OTU_107","OTU_107"
"74","OTU_6","OTU_6"
"75","OTU_200","OTU_200"
"76","OTU_173","OTU_173"
"77","OTU_257","OTU_257"
"78","OTU_309","OTU_309"
"79","OTU_29","OTU_29"
"80","OTU_20","OTU_20"
"81","OTU_19","OTU_19"
"82","OTU_124","OTU_124"
"83","OTU_219","OTU_219"
"84","OTU_94","OTU_94"
"85","OTU_358","OTU_358"
"86","OTU_120","OTU_120"
"87","OTU_96","OTU_96"
"88","OTU_223","OTU_223"
"89","OTU_102","OTU_102"
"90","OTU_421","OTU_421"
"91","OTU_50","OTU_50"
"92","OTU_70","OTU_70"
"93","OTU_225","OTU_225"
"94","OTU_256","OTU_256"
"95","OTU_364","OTU_364"
"96","OTU_98","OTU_98"
"97","OTU_245","OTU_245"
"98","OTU_35","OTU_35"
"99","OTU_65","OTU_65"
"100","OTU_198","OTU_198"
"101","OTU_260","OTU_260"
"102","OTU_73","OTU_73"
"103","OTU_187","OTU_187"
"104","OTU_310","OTU_310"
"105","OTU_325","OTU_325"
"106","OTU_134","OTU_134"
"107","OTU_232","OTU_232"
"108","OTU_11","OTU_11"
"109","OTU_165","OTU_165"
"110","OTU_3","OTU_3"
"111","OTU_306","OTU_306"
"112","OTU_186","OTU_186"
"113","OTU_21","OTU_21"
"114","OTU_158","OTU_158"
"115","OTU_71","OTU_71"
"116","OTU_299","OTU_299"
"117","OTU_169","OTU_169"
"118","OTU_447","OTU_447"
"119","OTU_265","OTU_265"
"120","OTU_191","OTU_191"
"121","OTU_172","OTU_172"
