"","relationships","direct","indirect","total"
"1","Position -> Env",0.835205651417491,0,0.835205651417491
"2","Position -> AMF",0.89311736275622,-0.796316710734717,0.0968006520215023
"3","Position -> Comp",0.86330718803089,0.0770324884456159,0.940339676476506
"4","Position -> PA",0.668824525517668,-1.27083436564597,-0.602009840128301
"5","Position -> EMF",-0.655816919713589,-0.164991216291712,-0.820808136005301
"6","Env -> AMF",-0.953437886086173,0,-0.953437886086173
"7","Env -> Comp",0.0863349904083101,-0.0485089435063273,0.0378260469019828
"8","Env -> PA",0,0.0905886141583896,0.0905886141583896
"9","Env -> EMF",-0.434081468869892,-0.277703875339919,-0.711785344209811
"10","AMF -> Comp",0.0508779273555561,0,0.0508779273555561
"11","AMF -> PA",-0.148025086912379,-0.0679843615386079,-0.216009448450987
"12","AMF -> EMF",0.330871020367662,-0.0407401588725458,0.290130861495116
"13","Comp -> PA",-1.33622506010327,0,-1.33622506010327
"14","Comp -> EMF",0.349471610866277,-0.362005579568155,-0.0125339687018776
"15","PA -> EMF",0.270916622039836,0,0.270916622039836
