"","PNA_rpoB_AMF","PPA_rpoB_AMF"
"CH2.1",-0.0118277957958989,0.120310436602203
"CH2.2",-0.014266674734014,0.147864251839665
"CH2.3",-0.0111400716862509,0.132801849289132
"CH3.1",-0.0114435920915269,0.111851578623361
"CH3.2",-0.0131483134579887,0.127188871466232
"CH3.3",-0.00685435293408695,0.282425644114395
"CH4.1",-0.0131272454896159,0.14381081931819
"CH4.2",-0.0127883632381108,0.145301621359898
"CH4.3",-0.0155896050226355,0.19976420886688
"CH5.1",-0.017630292272911,0.125126208328576
"CH5.2",-0.0157354217899315,0.114337785241458
"CH5.3",-0.0123464472054012,0.129943029876516
"CH6.1",-0.0163792214968345,0.11929202293215
"CH6.2",-0.0153363402538224,0.125366921461766
"CH6.3",-0.0145129747009488,0.167812048417753
"CH7.1",-0.0140478131890196,0.113494559916164
"CH7.2",-0.0156629912762785,0.151369159465029
"CH7.3",-0.0136368692146426,0.203478675415941
