,name,Genus
OTU_2,OTU_2,Others
OTU_3,OTU_3,Mesorhizobium
OTU_6,OTU_6,Bradyrhizobium
OTU_10,OTU_10,Afipia
OTU_11,OTU_11,Afipia
OTU_13,OTU_13,Bartonella
OTU_14,OTU_14,Brucella
OTU_15,OTU_15,Brucella
OTU_19,OTU_19,Others
OTU_20,OTU_20,Bradyrhizobium
OTU_21,OTU_21,Bradyrhizobium
OTU_23,OTU_23,Bradyrhizobium
OTU_29,OTU_29,Bradyrhizobium
OTU_34,OTU_34,Others
OTU_35,OTU_35,Bradyrhizobium
OTU_38,OTU_38,Bartonella
OTU_42,OTU_42,Afipia
OTU_43,OTU_43,Mesorhizobium
OTU_49,OTU_49,Bradyrhizobium
OTU_50,OTU_50,Bradyrhizobium
OTU_65,OTU_65,Bradyrhizobium
OTU_70,OTU_70,Bradyrhizobium
OTU_71,OTU_71,Others
OTU_73,OTU_73,Others
OTU_83,OTU_83,Bradyrhizobium
OTU_85,OTU_85,Others
OTU_89,OTU_89,Bradyrhizobium
OTU_93,OTU_93,Afipia
OTU_94,OTU_94,Bradyrhizobium
OTU_96,OTU_96,Bradyrhizobium
OTU_98,OTU_98,Afipia
OTU_102,OTU_102,Bradyrhizobium
OTU_107,OTU_107,Bradyrhizobium
OTU_108,OTU_108,Afipia
OTU_110,OTU_110,Others
OTU_112,OTU_112,Bradyrhizobium
OTU_116,OTU_116,Afipia
OTU_120,OTU_120,Bradyrhizobium
OTU_124,OTU_124,Afipia
OTU_125,OTU_125,Bradyrhizobium
OTU_130,OTU_130,Mesorhizobium
OTU_131,OTU_131,Others
OTU_134,OTU_134,Others
OTU_137,OTU_137,Others
OTU_138,OTU_138,Bradyrhizobium
OTU_139,OTU_139,Bradyrhizobium
OTU_149,OTU_149,Others
OTU_157,OTU_157,Bartonella
OTU_158,OTU_158,Others
OTU_160,OTU_160,Afipia
OTU_163,OTU_163,Others
OTU_164,OTU_164,Bradyrhizobium
OTU_165,OTU_165,Others
OTU_166,OTU_166,Afipia
OTU_168,OTU_168,Bradyrhizobium
OTU_169,OTU_169,Brucella
OTU_172,OTU_172,Bradyrhizobium
OTU_173,OTU_173,Bartonella
OTU_174,OTU_174,Bradyrhizobium
OTU_175,OTU_175,Bradyrhizobium
OTU_176,OTU_176,Bradyrhizobium
OTU_178,OTU_178,Bradyrhizobium
OTU_183,OTU_183,Others
OTU_186,OTU_186,Afipia
OTU_187,OTU_187,Bradyrhizobium
OTU_188,OTU_188,Bradyrhizobium
OTU_190,OTU_190,Afipia
OTU_191,OTU_191,Bradyrhizobium
OTU_198,OTU_198,Others
OTU_200,OTU_200,Brucella
OTU_202,OTU_202,Bartonella
OTU_203,OTU_203,Others
OTU_213,OTU_213,Bradyrhizobium
OTU_216,OTU_216,Bradyrhizobium
OTU_219,OTU_219,Bradyrhizobium
OTU_223,OTU_223,Others
OTU_224,OTU_224,Afipia
OTU_225,OTU_225,Bartonella
OTU_232,OTU_232,Afipia
OTU_235,OTU_235,Afipia
OTU_237,OTU_237,Afipia
OTU_241,OTU_241,Others
OTU_245,OTU_245,Mesorhizobium
OTU_246,OTU_246,Brucella
OTU_251,OTU_251,Bradyrhizobium
OTU_255,OTU_255,Bradyrhizobium
OTU_256,OTU_256,Others
OTU_257,OTU_257,Afipia
OTU_260,OTU_260,Bradyrhizobium
OTU_261,OTU_261,Afipia
OTU_265,OTU_265,Bartonella
OTU_279,OTU_279,Bradyrhizobium
OTU_281,OTU_281,Afipia
OTU_283,OTU_283,Bradyrhizobium
OTU_284,OTU_284,Others
OTU_286,OTU_286,Others
OTU_289,OTU_289,Brucella
OTU_290,OTU_290,Bradyrhizobium
OTU_296,OTU_296,Bradyrhizobium
OTU_298,OTU_298,Mesorhizobium
OTU_299,OTU_299,Bradyrhizobium
OTU_306,OTU_306,Bradyrhizobium
OTU_307,OTU_307,Afipia
OTU_309,OTU_309,Bradyrhizobium
OTU_310,OTU_310,Afipia
OTU_313,OTU_313,Others
OTU_314,OTU_314,Afipia
OTU_325,OTU_325,Bradyrhizobium
OTU_329,OTU_329,Bartonella
OTU_331,OTU_331,Afipia
OTU_358,OTU_358,Others
OTU_359,OTU_359,Others
OTU_364,OTU_364,Others
OTU_365,OTU_365,Others
OTU_370,OTU_370,Mesorhizobium
OTU_371,OTU_371,Others
OTU_386,OTU_386,Brucella
OTU_401,OTU_401,Others
OTU_421,OTU_421,Others
OTU_447,OTU_447,Brucella
OTU_452,OTU_452,Others
